 num     #instances         #bytes  class name
 194:          6238         249520  org.apache.cassandra.io.util.MmappedRegions$State
 195:         10165         243960  com.google.common.collect.ImmutableEntry
 196:         10061         241464  java.util.Collections$1
 197:          7405         236960  java.util.AbstractList$Itr
 198:         14336         229376  com.google.common.collect.Iterators$3
 199:          9398         225552  com.google.common.collect.Iterators$12
 200:          3493         223552  sun.nio.ch.FileChannelImpl
 201:          3421         218944  java.nio.DirectByteBufferR
 202:          5456         218240  java.lang.ref.SoftReference
 203:          6809         217888  com.codahale.metrics.LongAdder
 204:          3851         215656  java.util.stream.ReferencePipeline$Head
 205:          6565         210080  org.apache.cassandra.db.rows.BTreeRow$CellIterator
 206:          6544         209408  io.netty.util.Recycler$DefaultHandle
 207:          6475         207200  com.google.common.collect.RegularImmutableList
 208:          8555         205320  org.apache.cassandra.db.lifecycle.SSTableIntervalTree
 209:          5085         203560  [Ljava.util.concurrent.ConcurrentSkipListMap$Index;
 210:          4998         199920  java.util.HashMap$EntryIterator
 211:          8198         196752  com.google.common.collect.Collections2$TransformedCollection
 212:          8170         196080  org.apache.cassandra.utils.btree.BTree$FiltrationTracker
 213:          1526         195328  org.apache.cassandra.io.sstable.format.big.BigTableReader
 214:          6080         194560  java.io.ObjectStreamClass$WeakClassKey
 215:          2627         189144  java.lang.reflect.Field
 216:          7833         187992  org.apache.cassandra.db.RowIndexEntry
 217:          3900         187200  java.util.concurrent.ConcurrentHashMap$TreeBin
 218:          2892         185088  java.util.stream.ReferencePipeline$2
 219:          2882         184448  io.netty.buffer.PoolSubpage
 220:          7514         180336  com.sun.jmx.mbeanserver.NamedObject
 221:          7491         179784  com.sun.jmx.mbeanserver.StandardMBeanSupport
 222:         11236         179776  org.apache.cassandra.utils.WrappedBoolean
 223:          3744         179712  java.util.concurrent.locks.ReentrantReadWriteLock$FairSync
 224:          5554         177728  com.google.common.collect.Iterators$11
 225:          4441         177640  org.apache.cassandra.io.util.SafeMemory
 226:         11076         177216  org.apache.cassandra.db.rows.BTreeRow$Builder$CellResolver
 227:          3618         173664  java.util.TimSort
 228:          7086         173592  [Ljava.lang.Class;
 229:          7180         172320  org.apache.cassandra.db.rows.Rows$$Lambda$115/1674888420
 230:          5368         171568  [Lorg.apache.cassandra.db.ClusteringBound;
 231:          1526         170912  org.apache.cassandra.io.sstable.metadata.StatsMetadata
 232:          4264         170712  [Lorg.apache.cassandra.db.transform.Transformation;
 233:           802         168048  [Z
 234:          4096         163840  sun.misc.Cleaner
 235:          6685         160440  org.apache.cassandra.locator.AbstractEndpointSnitch$1
 236:          6502         156048  org.apache.cassandra.io.util.ChannelProxy
 237:          3213         154224  com.codahale.metrics.EWMA
 238:          3803         152120  org.apache.cassandra.utils.MergeIterator$Candidate
 239:          4722         151104  java.net.InetAddress$InetAddressHolder
 240:          6229         149496  org.apache.cassandra.dht.ExcludingBounds
 241:          3732         149280  sun.nio.fs.UnixDirectoryStream
 242:          9216         147456  com.google.common.collect.Maps$6
 243:          2612         146272  io.netty.util.concurrent.ScheduledFutureTask
 244:          2023         145656  io.netty.channel.DefaultChannelHandlerContext
 245:          3589         143560  org.apache.cassandra.db.SerializationHeader
 246:          4474         143168  org.apache.cassandra.io.util.SafeMemory$MemoryTidy
 247:           144         142592  [Lio.netty.buffer.PoolSubpage;
 248:          5933         142392  org.apache.cassandra.io.util.RandomAccessReader$BufferedRandomAccessFileMark
 249:          8634         138144  java.util.Collections$SingletonSet
 250:          2841         136368  java.util.concurrent.ConcurrentSkipListMap
 251:          3356         134240  java.util.Formatter$FormatSpecifier
 252:          8382         134112  java.util.concurrent.atomic.AtomicBoolean
 253:          2055         131520  java.util.stream.ReferencePipeline$3
 254:          3274         130960  sun.nio.ch.FileChannelImpl$Unmapper
 255:          2689         129072  org.apache.cassandra.net.MessageOut
 256:          2684         128832  org.apache.cassandra.db.RangeTombstoneList
 257:          1336         128256  org.apache.cassandra.db.SinglePartitionReadCommand
 258:          8006         128096  java.util.HashMap$EntrySet
 259:          3148         125920  org.apache.cassandra.db.rows.SerializationHelper
 260:          3916         125312  java.util.concurrent.ConcurrentSkipListMap$ValueIterator
 261:          5205         124920  java.util.concurrent.locks.ReentrantReadWriteLock
 262:          1475         123056  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 263:          3074         122960  org.apache.cassandra.io.util.FileHandle
 264:          3760         120320  java.lang.ThreadLocal$ThreadLocalMap$Entry
 265:          3732         119424  sun.nio.fs.UnixDirectoryStream$UnixDirectoryIterator
 266:          3675         117600  java.util.RegularEnumSet
 267:          7169         114704  org.apache.cassandra.utils.concurrent.Refs
 268:          1786         114304  java.util.concurrent.ConcurrentHashMap
 269:          2852         114080  java.lang.ref.Finalizer
 270:          3559         113888  java.util.EnumMap$EntryIterator
 271:          4617         110808  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter
 272:          4584         110016  com.google.common.collect.ImmutableList$1
 273:          3429         109728  java.rmi.server.UID
 274:           785         106760  io.netty.util.internal.InternalThreadLocalMap
 275:          1326         106080  org.apache.cassandra.db.Memtable
 276:          2568         102720  [Ljava.util.Formatter$Flags;
 277:          2565         102600  java.util.EnumMap
 278:          2564         102560  java.io.ObjectOutputStream$HandleTable
 279:          4261         102264  java.util.Collections$SingletonList
 280:          3166         101312  java.lang.StringCoding$StringEncoder
 281:          4158          99792  com.google.common.collect.SingletonImmutableList
 282:          3100          99200  org.apache.cassandra.io.util.FileHandle$Cleanup
 283:          2065          99120  org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$LocalSessionFutureTask
 284:          6182          98912  org.apache.cassandra.dht.Range$1
 285:          2378          95120  org.apache.cassandra.net.MessageIn
 286:          3916          93984  com.codahale.metrics.WeightedSnapshot
 287:          1282          92304  sun.rmi.transport.ConnectionOutputStream
 288:          1271          91512  org.apache.cassandra.db.rows.UnfilteredRowIteratorSerializer$1
 289:          3802          91248  com.google.common.collect.Iterables$2
 290:           218          90688  [Lorg.antlr.runtime.BitSet;
 291:          1122          89760  java.lang.reflect.Constructor
 292:          3732          89568  sun.nio.fs.UnixSecureDirectoryStream
 293:          3690          88560  org.apache.cassandra.metrics.CassandraMetricsRegistry$JmxGauge
 294:          3682          88368  java.util.concurrent.LinkedBlockingQueue$Node
 295:          5497          87952  java.util.Optional
 296:          3649          87576  java.net.Inet4Address
 297:          5470          87520  java.util.concurrent.atomic.AtomicLongArray
 298:          2732          87424  java.nio.file.FileTreeWalker$DirectoryNode
 299:          2732          87424  sun.nio.fs.UnixFileKey
